user_id,user_paid,Year,Month,user_registered,onboarded,subscription_type,completed_date,onboarding_country,onboarding_heard_from_label,onboarding_goals_label,onboarding_learn_label
462370,1,2023,1,23-Jan,onboarded,monthly,23-Jan,India,instagram,Other,Specialized advanced topics
462426,1,2023,1,23-Jan,onboarded,annual,23-Jan,United States of America,youtube,I want to become a data scientist.,Data analysis and data visualization
462441,1,2023,1,23-Jan,onboarded,annual,23-Jan,United States of America,youtube,I want to earn a higher salary.,Business analysis
462449,1,2023,1,23-Jan,onboarded,annual,23-Jan,Spain,other,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
462467,1,2023,1,23-Jan,onboarded,annual,23-May,Egypt,facebook,I want to join an industry-leading company.,Machine and deep learning
462473,1,2023,1,23-Jan,onboarded,annual,23-Jan,Poland,youtube,NULL,Introduction to the world of data and data science
462474,1,2023,1,23-Jan,onboarded,monthly,23-Jan,South Africa,youtube,I want to become a data scientist.,Data analysis and data visualization
462484,1,2023,1,23-Jan,onboarded,monthly,23-Jan,United States of America,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
462488,1,2023,1,23-Jan,onboarded,monthly,23-Jan,United Kingdom,facebook,I want to join an industry-leading company.,Machine and deep learning
462489,1,2023,1,23-Jan,onboarded,annual,23-Jan,United States of America,multiple_sources,NULL,Introduction to the world of data and data science
462514,1,2023,1,23-Jan,onboarded,annual,23-Jan,South Africa,google,I want to earn a higher salary.,Business analysis
462541,1,2023,1,23-Jan,onboarded,annual,23-Jan,United States of America,youtube,I want to join an industry-leading company.,Machine and deep learning
462585,1,2023,1,23-Jan,onboarded,monthly,23-Jan,India,youtube,I want to join an industry-leading company.,Machine and deep learning
462624,1,2023,1,23-Jan,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
462643,1,2023,1,23-Jan,onboarded,annual,23-Jan,Egypt,friend,I want to improve my data skills.,Introduction to the world of data and data science
462667,1,2023,1,23-Jan,onboarded,annual,23-Jan,Estonia,youtube,I want to become a data scientist.,Data analysis and data visualization
462670,1,2023,1,23-Jan,not-onboarded,quarterly,NULL,NULL,multiple_sources,NULL,NULL
462672,1,2023,1,23-Jan,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
462697,1,2023,1,23-Jan,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
462703,1,2023,1,23-Jan,onboarded,monthly,23-Jan,United Kingdom,youtube,NULL,Introduction to the world of data and data science
462720,1,2023,1,23-Jan,onboarded,monthly,23-Jan,Jamaica,youtube,I want to become a data scientist.,Data analysis and data visualization
462746,1,2023,1,23-Jan,not-onboarded,monthly,NULL,NULL,multiple_sources,NULL,NULL
462769,0,2023,1,23-Jan,not-onboarded,NULL,NULL,NULL,multiple_sources,NULL,NULL
462823,1,2023,1,23-Jan,onboarded,annual,23-Jan,South Africa,linkedin,I want to join an industry-leading company.,Machine and deep learning
462826,1,2023,1,23-Jan,onboarded,monthly,23-Jan,Armenia,youtube,Other,Specialized advanced topics
462852,1,2023,1,23-Jan,onboarded,monthly,23-Jan,Botswana,youtube,I want to join an industry-leading company.,Machine and deep learning
462855,1,2023,1,23-Jan,onboarded,annual,23-Jan,United Kingdom,youtube,I want to become a data scientist.,Data analysis and data visualization
462884,1,2023,1,23-Jan,onboarded,annual,23-Jan,Kenya,friend,NULL,Introduction to the world of data and data science
462890,1,2023,1,23-Jan,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
462919,1,2023,1,23-Jan,onboarded,annual,23-Jan,United States of America,youtube,I want to improve my data skills.,Introduction to the world of data and data science
462925,0,2023,1,23-Jan,not-onboarded,NULL,NULL,NULL,multiple_sources,NULL,NULL
462928,1,2023,1,23-Jan,onboarded,annual,23-Jan,Poland,youtube,I want to become a data scientist.,Data analysis and data visualization
462930,1,2023,1,23-Jan,onboarded,annual,23-Jan,United States of America,youtube,I want to improve my data skills.,Introduction to the world of data and data science
462967,1,2023,1,23-Jan,onboarded,annual,23-Jan,Italy,twitter,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
462971,1,2023,1,23-Jan,onboarded,annual,23-Jan,Vietnam,youtube,I want to become a data scientist.,Data analysis and data visualization
463006,0,2023,1,23-Jan,not-onboarded,NULL,NULL,NULL,multiple_sources,NULL,NULL
463014,1,2023,1,23-Jan,onboarded,annual,23-Jan,United States of America,other,NULL,Introduction to the world of data and data science
463084,1,2023,1,23-Jan,not-onboarded,monthly,NULL,NULL,multiple_sources,NULL,NULL
463110,1,2023,1,23-Jan,onboarded,monthly,23-Jan,India,youtube,I want to become a data scientist.,Data analysis and data visualization
463116,1,2023,1,23-Jan,onboarded,monthly,23-Jan,Brazil,google,I want to become a data scientist.,Data analysis and data visualization
463172,1,2023,1,23-Jan,onboarded,annual,23-Jan,United States of America,friend,I want to earn a higher salary.,Business analysis
